nc_id,nc_date,defect_code,defect_description,process,source,supplier_id,severity,qty_affected,cost_eur
NC-00066,2024-03-01,D10,Packaging damage in transit,Customer,customer,,Minor,2,189.41
NC-00067,2024-03-04,D07,Cosmetic scratch,Assembly,internal,,Minor,18,64.02
NC-00068,2024-03-04,D07,Cosmetic scratch,Assembly,internal,,Minor,4,154.91
NC-00069,2024-03-04,D03,Solder joint defect,Electronics,internal,,Major,22,1532.07
NC-00070,2024-03-05,D05,Wrong or missing label,Packaging,internal,,Minor,21,197.18
NC-00071,2024-03-06,D08,Firmware version mismatch,Final test,internal,,Minor,14,416.83
NC-00072,2024-03-07,D10,Packaging damage in transit,Customer,customer,,Major,17,605.69
NC-00073,2024-03-07,D03,Solder joint defect,Electronics,internal,,Major,9,111.78
NC-00074,2024-03-08,D02,Dimensional out of tolerance,Machining,internal,,Minor,20,1492.22
NC-00075,2024-03-11,D02,Dimensional out of tolerance,Machining,internal,,Minor,19,527.98
NC-00076,2024-03-12,D06,Device history record incomplete,Documentation,internal,,Minor,7,59.82
NC-00077,2024-03-13,D01,Connector crimp defect,Assembly,supplier,S02,Minor,22,768.29
NC-00078,2024-03-14,D07,Cosmetic scratch,Assembly,internal,,Minor,14,20.32
NC-00079,2024-03-14,D02,Dimensional out of tolerance,Machining,internal,,Minor,5,438.73
NC-00080,2024-03-15,D05,Wrong or missing label,Packaging,internal,,Minor,24,90.94
NC-00081,2024-03-15,D03,Solder joint defect,Electronics,internal,,Minor,10,681.61
NC-00082,2024-03-18,D01,Connector crimp defect,Assembly,supplier,S01,Minor,6,532.61
NC-00083,2024-03-19,D02,Dimensional out of tolerance,Machining,internal,,Critical,23,2144.55
NC-00084,2024-03-21,D02,Dimensional out of tolerance,Machining,internal,,Minor,3,706.73
NC-00085,2024-03-25,D01,Connector crimp defect,Assembly,supplier,S02,Major,13,1957.78
NC-00086,2024-03-25,D02,Dimensional out of tolerance,Machining,internal,,Minor,17,910.33
NC-00087,2024-03-26,D09,Incoming material out of spec,Incoming inspection,supplier,S02,Minor,4,937.84
NC-00088,2024-03-26,D08,Firmware version mismatch,Final test,internal,,Minor,16,363.61
NC-00089,2024-03-26,D11,Test fixture calibration overdue,Final test,internal,,Minor,5,881.67
NC-00090,2024-03-27,D01,Connector crimp defect,Assembly,supplier,S10,Minor,5,1631.14
NC-00091,2024-03-28,D10,Packaging damage in transit,Customer,customer,,Minor,3,129.58
NC-00092,2024-03-28,D06,Device history record incomplete,Documentation,internal,,Minor,3,83.94
NC-00093,2024-03-28,D04,Seal leak at pressure test,Final test,internal,,Major,9,2209.76
NC-00094,2024-03-29,D08,Firmware version mismatch,Final test,internal,,Minor,23,92.82
NC-00095,2024-03-29,D05,Wrong or missing label,Packaging,internal,,Critical,10,899.27
NC-00096,2024-03-29,D06,Device history record incomplete,Documentation,internal,,Minor,13,73.16
NC-00097,2024-04-01,D03,Solder joint defect,Electronics,internal,,Minor,23,509.14
NC-00098,2024-04-01,D05,Wrong or missing label,Packaging,internal,,Minor,5,532.26
NC-00099,2024-04-02,D03,Solder joint defect,Electronics,internal,,Minor,6,696.75
NC-00100,2024-04-02,D05,Wrong or missing label,Packaging,internal,,Minor,23,186.08
NC-00101,2024-04-03,D01,Connector crimp defect,Assembly,supplier,S01,Minor,24,1537.07
NC-00102,2024-04-04,D11,Test fixture calibration overdue,Final test,internal,,Minor,16,244.86
NC-00103,2024-04-05,D05,Wrong or missing label,Packaging,internal,,Minor,21,135.2
NC-00104,2024-04-08,D01,Connector crimp defect,Assembly,supplier,S09,Minor,4,357.93
NC-00105,2024-04-08,D04,Seal leak at pressure test,Final test,internal,,Minor,17,1521.88
NC-00106,2024-04-09,D09,Incoming material out of spec,Incoming inspection,supplier,S03,Minor,11,289.61
NC-00107,2024-04-10,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Minor,20,424.63
NC-00108,2024-04-12,D02,Dimensional out of tolerance,Machining,internal,,Minor,3,107.27
NC-00109,2024-04-12,D06,Device history record incomplete,Documentation,internal,,Minor,14,28.84
NC-00110,2024-04-15,D05,Wrong or missing label,Packaging,internal,,Minor,3,201.13
NC-00111,2024-04-16,D02,Dimensional out of tolerance,Machining,internal,,Minor,6,1165.34
NC-00112,2024-04-17,D07,Cosmetic scratch,Assembly,internal,,Minor,19,47.13
NC-00113,2024-04-17,D05,Wrong or missing label,Packaging,internal,,Major,16,106.62
NC-00114,2024-04-17,D10,Packaging damage in transit,Customer,customer,,Minor,12,97.82
NC-00115,2024-04-18,D11,Test fixture calibration overdue,Final test,internal,,Minor,11,19.07
NC-00116,2024-04-18,D05,Wrong or missing label,Packaging,internal,,Minor,2,434.34
NC-00117,2024-04-19,D05,Wrong or missing label,Packaging,internal,,Minor,20,350.21
NC-00118,2024-04-19,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,8,576.59
NC-00119,2024-04-19,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Minor,7,508.27
NC-00120,2024-04-23,D05,Wrong or missing label,Packaging,internal,,Major,3,380.01
NC-00121,2024-04-24,D09,Incoming material out of spec,Incoming inspection,supplier,S07,Minor,22,430.73
NC-00122,2024-04-24,D01,Connector crimp defect,Assembly,supplier,S11,Minor,5,571.75
NC-00123,2024-04-24,D06,Device history record incomplete,Documentation,internal,,Minor,5,64.98
NC-00124,2024-04-24,D03,Solder joint defect,Electronics,internal,,Major,23,1241.21
NC-00125,2024-04-25,D01,Connector crimp defect,Assembly,supplier,S05,Minor,22,415.58
NC-00126,2024-04-25,D04,Seal leak at pressure test,Final test,internal,,Minor,13,2533.1
NC-00127,2024-04-26,D06,Device history record incomplete,Documentation,internal,,Major,14,340.76
NC-00128,2024-04-29,D02,Dimensional out of tolerance,Machining,internal,,Major,24,6230.6
NC-00129,2024-04-29,D05,Wrong or missing label,Packaging,internal,,Minor,8,207.76
NC-00130,2024-04-29,D11,Test fixture calibration overdue,Final test,internal,,Major,7,524.23
NC-00131,2024-04-30,D05,Wrong or missing label,Packaging,internal,,Minor,8,121.15
NC-00132,2024-05-01,D05,Wrong or missing label,Packaging,internal,,Minor,20,196.76
NC-00133,2024-05-01,D10,Packaging damage in transit,Customer,customer,,Minor,24,204.92
NC-00134,2024-05-02,D02,Dimensional out of tolerance,Machining,internal,,Minor,4,494.32
NC-00135,2024-05-02,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Major,6,1114.04
NC-00136,2024-05-03,D07,Cosmetic scratch,Assembly,internal,,Major,7,203.14
NC-00137,2024-05-03,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Major,9,2420.19
NC-00138,2024-05-07,D10,Packaging damage in transit,Customer,customer,,Minor,10,123.16
NC-00139,2024-05-07,D03,Solder joint defect,Electronics,internal,,Minor,24,805.19
NC-00140,2024-05-07,D01,Connector crimp defect,Assembly,supplier,S01,Major,15,2342.83
NC-00141,2024-05-10,D05,Wrong or missing label,Packaging,internal,,Major,21,71.1
NC-00142,2024-05-13,D05,Wrong or missing label,Packaging,internal,,Minor,16,99.51
NC-00143,2024-05-13,D04,Seal leak at pressure test,Final test,internal,,Minor,18,2594.33
NC-00144,2024-05-14,D07,Cosmetic scratch,Assembly,internal,,Critical,18,263.07
NC-00145,2024-05-16,D11,Test fixture calibration overdue,Final test,internal,,Minor,16,475.82
NC-00146,2024-05-16,D04,Seal leak at pressure test,Final test,internal,,Minor,10,656.44
NC-00147,2024-05-17,D04,Seal leak at pressure test,Final test,internal,,Minor,19,4126.58
NC-00148,2024-05-20,D05,Wrong or missing label,Packaging,internal,,Minor,21,89.07
NC-00149,2024-05-20,D02,Dimensional out of tolerance,Machining,internal,,Critical,20,4155.41
NC-00150,2024-05-21,D03,Solder joint defect,Electronics,internal,,Minor,16,723.51
NC-00151,2024-05-21,D01,Connector crimp defect,Assembly,supplier,S02,Major,20,1112.37
NC-00152,2024-05-22,D06,Device history record incomplete,Documentation,internal,,Minor,4,84.99
NC-00153,2024-05-23,D01,Connector crimp defect,Assembly,supplier,S08,Minor,18,1579.85
NC-00154,2024-05-23,D01,Connector crimp defect,Assembly,supplier,S08,Major,9,1119.29
NC-00155,2024-05-23,D03,Solder joint defect,Electronics,internal,,Minor,7,526.02
NC-00156,2024-05-24,D06,Device history record incomplete,Documentation,internal,,Minor,15,45.13
NC-00157,2024-05-24,D01,Connector crimp defect,Assembly,supplier,S08,Minor,21,934.73
NC-00158,2024-05-27,D06,Device history record incomplete,Documentation,internal,,Minor,6,62.94
NC-00159,2024-05-27,D03,Solder joint defect,Electronics,internal,,Minor,3,1010.96
NC-00160,2024-05-27,D07,Cosmetic scratch,Assembly,internal,,Critical,3,92.21
NC-00161,2024-05-29,D08,Firmware version mismatch,Final test,internal,,Major,24,379.4
NC-00162,2024-05-29,D11,Test fixture calibration overdue,Final test,internal,,Minor,4,48.23
NC-00163,2024-05-30,D06,Device history record incomplete,Documentation,internal,,Major,24,138.82
NC-00164,2024-05-31,D06,Device history record incomplete,Documentation,internal,,Minor,8,20.2
NC-00165,2024-05-31,D04,Seal leak at pressure test,Final test,internal,,Major,19,4013.1
NC-00166,2024-05-31,D02,Dimensional out of tolerance,Machining,internal,,Major,5,1940.87
NC-00167,2024-06-03,D08,Firmware version mismatch,Final test,internal,,Major,5,248.27
NC-00168,2024-06-03,D03,Solder joint defect,Electronics,internal,,Minor,18,485.52
NC-00169,2024-06-04,D05,Wrong or missing label,Packaging,internal,,Minor,24,423.04
NC-00170,2024-06-05,D05,Wrong or missing label,Packaging,internal,,Minor,11,115.85
NC-00171,2024-06-05,D01,Connector crimp defect,Assembly,supplier,S09,Major,21,1529.1
NC-00172,2024-06-06,D05,Wrong or missing label,Packaging,internal,,Minor,11,101.48
NC-00173,2024-06-07,D10,Packaging damage in transit,Customer,customer,,Minor,8,574.49
NC-00174,2024-06-10,D02,Dimensional out of tolerance,Machining,internal,,Minor,13,924.8
NC-00175,2024-06-10,D05,Wrong or missing label,Packaging,internal,,Critical,9,1100.94
NC-00176,2024-06-11,D01,Connector crimp defect,Assembly,supplier,S11,Major,9,1251.11
NC-00177,2024-06-12,D07,Cosmetic scratch,Assembly,internal,,Minor,11,14.82
NC-00178,2024-06-12,D05,Wrong or missing label,Packaging,internal,,Minor,19,398.61
NC-00179,2024-06-14,D02,Dimensional out of tolerance,Machining,internal,,Minor,16,3106.53
NC-00180,2024-06-17,D04,Seal leak at pressure test,Final test,internal,,Minor,6,652.81
NC-00181,2024-06-17,D07,Cosmetic scratch,Assembly,internal,,Minor,24,241.89
NC-00182,2024-06-18,D02,Dimensional out of tolerance,Machining,internal,,Minor,7,955.47
NC-00183,2024-06-18,D11,Test fixture calibration overdue,Final test,internal,,Minor,21,167.0
NC-00184,2024-06-19,D03,Solder joint defect,Electronics,internal,,Minor,1,878.23
NC-00185,2024-06-19,D02,Dimensional out of tolerance,Machining,internal,,Minor,1,307.04
NC-00186,2024-06-20,D03,Solder joint defect,Electronics,internal,,Major,4,671.42
NC-00187,2024-06-21,D05,Wrong or missing label,Packaging,internal,,Minor,21,233.73
NC-00188,2024-06-21,D05,Wrong or missing label,Packaging,internal,,Minor,24,653.4
NC-00189,2024-06-26,D03,Solder joint defect,Electronics,internal,,Major,9,436.45
NC-00190,2024-06-27,D05,Wrong or missing label,Packaging,internal,,Minor,1,471.31
NC-00191,2024-06-27,D03,Solder joint defect,Electronics,internal,,Minor,4,650.3
NC-00192,2024-06-28,D03,Solder joint defect,Electronics,internal,,Minor,22,140.29
NC-00193,2024-06-28,D09,Incoming material out of spec,Incoming inspection,supplier,S07,Minor,4,556.22
NC-00194,2024-06-28,D10,Packaging damage in transit,Customer,customer,,Major,6,131.02
NC-00195,2024-06-28,D03,Solder joint defect,Electronics,internal,,Minor,24,431.27
NC-00196,2024-06-28,D03,Solder joint defect,Electronics,internal,,Minor,10,160.78
NC-00197,2024-07-02,D06,Device history record incomplete,Documentation,internal,,Minor,8,146.42
NC-00198,2024-07-02,D07,Cosmetic scratch,Assembly,internal,,Minor,21,201.94
NC-00199,2024-07-03,D04,Seal leak at pressure test,Final test,internal,,Minor,4,1869.97
NC-00200,2024-07-04,D06,Device history record incomplete,Documentation,internal,,Minor,18,49.86
NC-00201,2024-07-05,D06,Device history record incomplete,Documentation,internal,,Major,5,224.61
NC-00202,2024-07-05,D02,Dimensional out of tolerance,Machining,internal,,Minor,15,564.78
NC-00203,2024-07-05,D06,Device history record incomplete,Documentation,internal,,Major,3,122.64
NC-00204,2024-07-05,D06,Device history record incomplete,Documentation,internal,,Major,14,51.27
NC-00205,2024-07-08,D05,Wrong or missing label,Packaging,internal,,Minor,1,96.58
NC-00206,2024-07-09,D07,Cosmetic scratch,Assembly,internal,,Major,10,46.37
NC-00207,2024-07-10,D04,Seal leak at pressure test,Final test,internal,,Minor,18,1579.36
NC-00208,2024-07-11,D08,Firmware version mismatch,Final test,internal,,Minor,14,141.07
NC-00209,2024-07-15,D03,Solder joint defect,Electronics,internal,,Minor,1,501.07
NC-00210,2024-07-15,D02,Dimensional out of tolerance,Machining,internal,,Minor,17,465.03
NC-00211,2024-07-16,D02,Dimensional out of tolerance,Machining,internal,,Minor,9,1685.02
NC-00212,2024-07-16,D04,Seal leak at pressure test,Final test,internal,,Major,2,2432.02
NC-00213,2024-07-16,D11,Test fixture calibration overdue,Final test,internal,,Minor,1,182.27
NC-00214,2024-07-17,D09,Incoming material out of spec,Incoming inspection,supplier,S10,Minor,17,631.57
NC-00215,2024-07-19,D01,Connector crimp defect,Assembly,supplier,S04,Minor,12,1430.19
NC-00216,2024-07-19,D05,Wrong or missing label,Packaging,internal,,Minor,9,39.56
NC-00217,2024-07-23,D02,Dimensional out of tolerance,Machining,internal,,Major,12,363.63
NC-00218,2024-07-24,D02,Dimensional out of tolerance,Machining,internal,,Minor,21,994.6
NC-00219,2024-07-25,D04,Seal leak at pressure test,Final test,internal,,Minor,13,2681.7
NC-00220,2024-07-25,D02,Dimensional out of tolerance,Machining,internal,,Minor,23,838.19
NC-00221,2024-07-26,D09,Incoming material out of spec,Incoming inspection,supplier,S08,Minor,14,543.32
NC-00222,2024-07-26,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Major,23,1780.74
NC-00223,2024-07-30,D03,Solder joint defect,Electronics,internal,,Minor,6,464.36
NC-00224,2024-08-01,D08,Firmware version mismatch,Final test,internal,,Minor,6,187.9
NC-00225,2024-08-01,D03,Solder joint defect,Electronics,internal,,Major,21,763.33
NC-00226,2024-08-01,D01,Connector crimp defect,Assembly,supplier,S01,Major,16,296.68
NC-00227,2024-08-02,D02,Dimensional out of tolerance,Machining,internal,,Minor,6,165.51
NC-00228,2024-08-02,D05,Wrong or missing label,Packaging,internal,,Critical,9,705.71
NC-00229,2024-08-05,D10,Packaging damage in transit,Customer,customer,,Major,5,1095.07
NC-00230,2024-08-06,D02,Dimensional out of tolerance,Machining,internal,,Minor,4,338.94
NC-00231,2024-08-06,D09,Incoming material out of spec,Incoming inspection,supplier,S06,Minor,17,107.78
NC-00232,2024-08-07,D06,Device history record incomplete,Documentation,internal,,Major,13,62.85
NC-00233,2024-08-07,D07,Cosmetic scratch,Assembly,internal,,Major,8,100.25
NC-00234,2024-08-08,D05,Wrong or missing label,Packaging,internal,,Minor,9,44.72
NC-00235,2024-08-08,D07,Cosmetic scratch,Assembly,internal,,Minor,3,12.81
NC-00236,2024-08-09,D03,Solder joint defect,Electronics,internal,,Minor,24,929.65
NC-00237,2024-08-09,D08,Firmware version mismatch,Final test,internal,,Minor,21,400.95
NC-00238,2024-08-09,D07,Cosmetic scratch,Assembly,internal,,Minor,18,76.23
NC-00239,2024-08-12,D11,Test fixture calibration overdue,Final test,internal,,Critical,8,773.26
NC-00240,2024-08-13,D08,Firmware version mismatch,Final test,internal,,Minor,14,221.92
NC-00241,2024-08-15,D08,Firmware version mismatch,Final test,internal,,Major,18,233.39
NC-00242,2024-08-15,D03,Solder joint defect,Electronics,internal,,Minor,14,880.58
NC-00243,2024-08-15,D07,Cosmetic scratch,Assembly,internal,,Minor,6,117.66
NC-00244,2024-08-16,D06,Device history record incomplete,Documentation,internal,,Minor,24,100.56
NC-00245,2024-08-16,D05,Wrong or missing label,Packaging,internal,,Minor,14,87.14
NC-00246,2024-08-19,D07,Cosmetic scratch,Assembly,internal,,Major,2,105.34
NC-00247,2024-08-20,D03,Solder joint defect,Electronics,internal,,Minor,16,176.59
NC-00248,2024-08-20,D08,Firmware version mismatch,Final test,internal,,Major,24,1075.71
NC-00249,2024-08-20,D05,Wrong or missing label,Packaging,internal,,Major,23,237.45
NC-00250,2024-08-20,D08,Firmware version mismatch,Final test,internal,,Minor,16,88.74
NC-00251,2024-08-21,D03,Solder joint defect,Electronics,internal,,Minor,7,357.32
NC-00252,2024-08-21,D09,Incoming material out of spec,Incoming inspection,supplier,S04,Minor,18,558.67
NC-00253,2024-08-22,D02,Dimensional out of tolerance,Machining,internal,,Major,22,4996.35
NC-00254,2024-08-22,D02,Dimensional out of tolerance,Machining,internal,,Major,8,5488.11
NC-00255,2024-08-22,D02,Dimensional out of tolerance,Machining,internal,,Major,9,3630.07
NC-00256,2024-08-22,D03,Solder joint defect,Electronics,internal,,Minor,22,710.54
NC-00257,2024-08-23,D03,Solder joint defect,Electronics,internal,,Minor,19,157.01
NC-00258,2024-08-26,D03,Solder joint defect,Electronics,internal,,Minor,12,1167.33
NC-00259,2024-08-26,D05,Wrong or missing label,Packaging,internal,,Major,9,125.87
NC-00260,2024-08-26,D02,Dimensional out of tolerance,Machining,internal,,Minor,8,701.28
NC-00261,2024-08-26,D01,Connector crimp defect,Assembly,supplier,S09,Minor,14,1216.05
NC-00262,2024-08-26,D03,Solder joint defect,Electronics,internal,,Minor,10,160.38
NC-00263,2024-08-27,D10,Packaging damage in transit,Customer,customer,,Major,21,256.51
NC-00264,2024-08-28,D01,Connector crimp defect,Assembly,supplier,S05,Minor,19,748.64
NC-00265,2024-08-28,D01,Connector crimp defect,Assembly,supplier,S06,Major,10,848.58
NC-00266,2024-08-29,D02,Dimensional out of tolerance,Machining,internal,,Minor,20,414.52
NC-00267,2024-08-29,D05,Wrong or missing label,Packaging,internal,,Minor,9,149.55
NC-00268,2024-08-29,D01,Connector crimp defect,Assembly,supplier,S05,Critical,8,4312.9
NC-00269,2024-08-30,D08,Firmware version mismatch,Final test,internal,,Minor,24,551.83
NC-00270,2024-09-02,D02,Dimensional out of tolerance,Machining,internal,,Minor,21,128.35
NC-00271,2024-09-03,D01,Connector crimp defect,Assembly,supplier,S02,Major,17,2079.09
NC-00272,2024-09-03,D02,Dimensional out of tolerance,Machining,internal,,Minor,14,811.07
NC-00273,2024-09-05,D06,Device history record incomplete,Documentation,internal,,Minor,3,26.1
NC-00274,2024-09-05,D03,Solder joint defect,Electronics,internal,,Minor,17,765.35
NC-00275,2024-09-05,D07,Cosmetic scratch,Assembly,internal,,Minor,3,64.84
NC-00276,2024-09-06,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Critical,9,4637.56
NC-00277,2024-09-06,D06,Device history record incomplete,Documentation,internal,,Minor,19,73.87
NC-00278,2024-09-06,D05,Wrong or missing label,Packaging,internal,,Minor,15,35.62
NC-00279,2024-09-10,D05,Wrong or missing label,Packaging,internal,,Minor,6,139.7
NC-00280,2024-09-10,D06,Device history record incomplete,Documentation,internal,,Minor,9,42.91
NC-00281,2024-09-11,D05,Wrong or missing label,Packaging,internal,,Major,6,887.98
NC-00282,2024-09-11,D06,Device history record incomplete,Documentation,internal,,Minor,8,96.25
NC-00283,2024-09-11,D02,Dimensional out of tolerance,Machining,internal,,Major,14,5234.52
NC-00284,2024-09-11,D09,Incoming material out of spec,Incoming inspection,supplier,S09,Minor,7,1697.16
NC-00285,2024-09-12,D02,Dimensional out of tolerance,Machining,internal,,Minor,16,947.3
NC-00286,2024-09-12,D02,Dimensional out of tolerance,Machining,internal,,Major,15,551.33
NC-00287,2024-09-13,D09,Incoming material out of spec,Incoming inspection,supplier,S05,Minor,13,424.29
NC-00288,2024-09-13,D09,Incoming material out of spec,Incoming inspection,supplier,S12,Minor,12,318.92
NC-00289,2024-09-16,D07,Cosmetic scratch,Assembly,internal,,Minor,18,128.13
NC-00290,2024-09-17,D01,Connector crimp defect,Assembly,supplier,S03,Minor,16,647.49
NC-00291,2024-09-17,D03,Solder joint defect,Electronics,internal,,Major,21,2648.56
NC-00292,2024-09-17,D02,Dimensional out of tolerance,Machining,internal,,Major,8,2374.4
NC-00293,2024-09-18,D09,Incoming material out of spec,Incoming inspection,supplier,S01,Major,4,1675.02
NC-00294,2024-09-18,D02,Dimensional out of tolerance,Machining,internal,,Minor,22,977.03
NC-00295,2024-09-18,D01,Connector crimp defect,Assembly,supplier,S07,Minor,3,631.7
NC-00296,2024-09-19,D03,Solder joint defect,Electronics,internal,,Major,19,227.06
NC-00297,2024-09-23,D05,Wrong or missing label,Packaging,internal,,Major,3,254.85
NC-00298,2024-09-23,D09,Incoming material out of spec,Incoming inspection,supplier,S11,Critical,17,8263.81
NC-00299,2024-09-24,D02,Dimensional out of tolerance,Machining,internal,,Minor,13,335.88
NC-00300,2024-09-24,D10,Packaging damage in transit,Customer,customer,,Minor,18,111.55
NC-00301,2024-09-25,D06,Device history record incomplete,Documentation,internal,,Minor,18,19.82
NC-00302,2024-09-26,D10,Packaging damage in transit,Customer,customer,,Minor,17,110.95
NC-00303,2024-09-26,D02,Dimensional out of tolerance,Machining,internal,,Minor,22,831.61
NC-00304,2024-09-26,D07,Cosmetic scratch,Assembly,internal,,Minor,17,79.29
NC-00305,2024-09-26,D01,Connector crimp defect,Assembly,supplier,S05,Minor,15,1558.28
NC-00306,2024-09-27,D06,Device history record incomplete,Documentation,internal,,Major,21,414.94
NC-00307,2024-10-02,D01,Connector crimp defect,Assembly,supplier,S10,Minor,3,2603.39
NC-00308,2024-10-02,D08,Firmware version mismatch,Final test,internal,,Minor,2,1162.45
